President	Election year	HeightRatio	PopVoteRatio
George Washington     	1789		
George Washington     	1792		
John Adams            	1796		
Thomas Jefferson      	1800		
Thomas Jefferson      	1804		
James Madison         	1808		
James Madison         	1812		
James Monroe          	1816		
James Monroe          	1820		
John Quincy Adams     	1824	0.924324324	0.427780852
Andrew Jackson        	1828	1.081871345	0.56148981
Andrew Jackson        	1832	1	0.597141922
Martin Van Buren      	1836	0.971098266	0.581254292
William Henry Harrison	1840	1.029761905	0.530344067
John Tyler            	1841		
James K. Polk         	1844	0.935135135	0.507425996
Zachary Taylor        	1848	0.994252874	0.526679292
Millard Fillmore      	1850		
Franklin Pierce       	1852	0.908163265	0.536690951
James Buchanan        	1856	1.045714286	0.577825976
Abraham Lincoln       	1860	1.18404908	0.573225387
Abraham Lincoln       	1864	1.115606936	0.550410082
Andrew Johnson        	1865		
Ulysses S. Grant      	1868		0.5266
Ulysses S. Grant      	1872	0.971910112	0.559380032
Rutherford B. Hayes   	1876	0.97752809	0.484823958
James A. Garfield     	1880	0.978609626	0.500466176
Chester A. Arthur     	1881		
Grover Cleveland      	1884	1	0.502934212
Benjamin Harrison     	1888	0.933333333	0.49569636
Grover Cleveland      	1892	1.071428571	0.516904414
William McKinley      	1896	0.944444444	0.522050547
William McKinley      	1900	0.944444444	0.531494442
Theodore Roosevelt    	1904	1.017142857	0.60014892
William Howard Taft   	1908	1.011111111	0.545079801
Woodrow Wilson        	1912	1.011235955	0.604274986
Woodrow Wilson        	1916	1.011235955	0.51635906
Warren G. Harding     	1920	1.089285714	0.63850958
Calvin Coolidge       	1924	0.988888889	0.652184407
Herbert Hoover        	1928	1.011111111	0.587920412
Franklin D. Roosevelt 	1932	1.032967033	0.5914898
Franklin D. Roosevelt 	1936	1.044444444	0.624614752
Franklin D. Roosevelt 	1940	1	0.550040193
Franklin D. Roosevelt 	1944	1.086705202	0.537771958
Harry S. Truman       	1948	1.011560694	0.523673642
Dwight D. Eisenhower  	1952	1.005617978	0.554517134
Dwight D. Eisenhower  	1956	1.005617978	0.577511576
John F. Kennedy       	1960	1.005494505	0.500856251
Lyndon B. Johnson     	1964	1.072222222	0.613444534
Richard Nixon         	1968	1.011111111	0.504063153
Richard Nixon         	1972	0.983783784	0.617883695
Gerald Ford           	1974		
Jimmy Carter          	1976	0.967213115	0.51049949
Ronald Reagan         	1980	1.04519774	0.553073235
Ronald Reagan         	1984	1.027777778	0.59166415
George H. W. Bush     	1988	1.086705202	0.538982024
Bill Clinton          	1992	1	0.53455133
Bill Clinton          	1996	1.005347594	0.547304058
George W. Bush        	2000	0.983783784	0.497350649
George W. Bush        	2004	0.943005181	0.512424242
Barack Obama          	2008	1.057142857	0.536914796
